Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,145200,145.200000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,Starting at 1: UK Amateur 2m Simplex FM Channels,,,,
2,145225,145.225000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,145237,145.237500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,145250,145.250000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,145262,145.262500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,145275,145.275000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,145287,145.287500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,145300,145.300000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,145312,145.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,145325,145.325000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,145337,145.337500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,145350,145.350000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,145362,145.362500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,145375,145.375000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,145387,145.387500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,145400,145.400000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
17,145412,145.412500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
18,145425,145.425000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
19,145437,145.437500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
20,145450,145.450000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
21,145462,145.462500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
22,145475,145.475000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
